index,Year,Calendar Date (YYYYMMDD),WeekNo,Year_Week,$Price,$ Sales Amount,# Sold Unit,# Inventory Unit
185,2015,20151016,42,2015_42,114.14285714285714,1646.7159324302183,17,1534
186,2015,20151017,42,2015_42,114.14285714285714,3124.888124888125,29,1505
187,2015,20151018,43,2015_43,114.14285714285714,2111.0049681478254,19,1261
188,2015,20151019,43,2015_43,114.14285714285714,770.5721991436277,7,1254
189,2015,20151020,43,2015_43,114.14285714285714,4194.861337718481,38,1216
190,2015,20151021,43,2015_43,114.14285714285714,9560.248845963131,85,1131
191,2015,20151022,43,2015_43,114.14285714285714,1238.772667344096,12,1119
192,2015,20151023,43,2015_43,114.14285714285714,5834.2229770801205,54,1065
193,2015,20151024,43,2015_43,114.14285714285714,6123.148980291838,56,1009
194,2015,20151025,44,2015_44,114.14285714285714,6345.577774149203,58,2309
195,2015,20151026,44,2015_44,114.14285714285714,1136.1182789754218,10,2299
196,2015,20151027,44,2015_44,114.14285714285714,539.8576827148256,5,2294
197,2015,20151028,44,2015_44,114.14285714285714,907.4294788580503,8,2286
198,2015,20151029,44,2015_44,114.14285714285714,799.000799000799,7,2279
199,2015,20151030,44,2015_44,114.14285714285714,1442.6494426494426,13,2266
200,2015,20151031,44,2015_44,114.14285714285714,2601.196886911173,24,2242
201,2015,20151101,45,2015_45,114.14285714285714,1931.41764570336,19,1883
202,2015,20151102,45,2015_45,114.14285714285714,799.000799000799,7,1876
203,2015,20151103,45,2015_45,114.14285714285714,666.3920949635235,6,1870
204,2015,20151104,45,2015_45,114.14285714285714,570.7148564291421,5,1865
205,2015,20151105,45,2015_45,114.14285714285714,342.4289138574853,3,1862
206,2015,20151106,45,2015_45,114.14285714285714,216.8573597145026,2,1860
207,2015,20151107,45,2015_45,114.14285714285714,1287.8327164041448,12,1848
208,2015,20151108,46,2015_46,114.14285714285714,1681.7159674302532,20,1690
209,2015,20151109,46,2015_46,114.14285714285714,199.71448542877116,2,1688
210,2015,20151110,46,2015_46,114.14285714285714,314.2603142603143,3,1685
211,2015,20151111,46,2015_46,114.14285714285714,1648.070219498791,15,1670
212,2015,20151112,46,2015_46,114.14285714285714,793.6893651179366,7,1663
213,2015,20151113,46,2015_46,114.14285714285714,1892.6018926018928,17,1646
214,2015,20151114,46,2015_46,114.14285714285714,4189.4070465499035,38,1608
215,2015,20151115,47,2015_47,114.14285714285714,1085.4296568582283,10,1473
216,2015,20151116,47,2015_47,114.14285714285714,114.14297128582842,1,1472
217,2015,20151117,47,2015_47,114.14285714285714,411.1432682861255,4,1468
218,2015,20151118,47,2015_47,114.14285714285714,673.8321024035309,6,1462
219,2015,20151119,47,2015_47,114.14285714285714,342.4289138574853,3,1459
220,2015,20151120,47,2015_47,114.14285714285714,222.9745086887944,2,1457
221,2015,20151121,47,2015_47,114.14285714285714,1710.4045675474247,16,1441
222,2015,20151122,48,2015_48,114.14285714285714,735.0435921864494,7,1164
223,2015,20151123,48,2015_48,114.14285714285714,764.7150504293361,7,1157
224,2015,20151124,48,2015_48,114.14285714285714,228.28594257165685,2,1155
225,2015,20151125,48,2015_48,114.14285714285714,536.5719651433938,5,1150
226,2015,20151126,48,2015_48,114.14285714285714,171.14302828588544,2,1148
227,2015,20151127,48,2015_48,114.14285714285714,372.14322928608647,4,1144
228,2015,20151128,48,2015_48,114.14285714285714,959.2866735723879,10,1134
229,2015,20151129,49,2015_49,114.14285714285714,214.58592887164315,2,1030
230,2015,20151130,49,2015_49,114.14285714285714,1010.286724572439,9,1021
231,2015,20151201,49,2015_49,114.14285714285714,114.14297128582842,1,1020
232,2015,20151202,49,2015_49,114.14285714285714,456.5718851433137,4,1016
233,2015,20151203,49,2015_49,114.14285714285714,419.4289908575623,4,1012
234,2015,20151204,49,2015_49,114.14285714285714,442.85758571472854,4,1008
235,2015,20151205,49,2015_49,114.14285714285714,365.14322228607944,4,1004
236,2015,20151206,50,2015_50,114.14285714285714,971.6895431181146,9,983
237,2015,20151207,50,2015_50,114.14285714285714,-114.14297128582842,-1,984
238,2015,20151208,50,2015_50,114.14285714285714,205.42877685734828,2,982
239,2015,20151209,50,2015_50,114.14285714285714,137.00013700013702,5,977
240,2015,20151210,50,2015_50,114.14285714285714,205.45734831449118,2,975
241,2015,20151211,50,2015_50,114.14285714285714,921.8866361723504,11,964
242,2015,20151212,50,2015_50,114.14285714285714,1257.4041145469716,14,950
243,2015,20151213,51,2015_51,114.14285714285714,406.2861205718349,4,915
244,2015,20151214,51,2015_51,114.14285714285714,331.8060460917604,3,912
245,2015,20151215,51,2015_51,114.14285714285714,296.74315388601104,6,906
246,2015,20151216,51,2015_51,114.14285714285714,91.28580557151986,1,905
247,2015,20151217,51,2015_51,114.14285714285714,216.8573597145026,2,903
248,2015,20151218,51,2015_51,114.14285714285714,194.000194000194,2,901
249,2015,20151219,51,2015_51,114.14285714285714,1078.4296498582212,11,890
250,2015,20151220,52,2015_52,114.14285714285714,1281.3012813012813,15,878
251,2015,20151221,52,2015_52,114.14285714285714,296.71458242886814,3,875
252,2015,20151222,52,2015_52,114.14285714285714,342.4289138574853,3,872
253,2015,20151223,52,2015_52,114.14285714285714,228.28594257165685,2,870
254,2015,20151224,52,2015_52,114.14285714285714,2648.074076645505,28,842
255,2015,20151225,52,2015_52,114.14285714285714,511.28622557193984,5,837
256,2015,20151226,52,2015_52,114.14285714285714,817.1436742865314,8,829
257,2015,20151227,53,2015_53,114.14285714285714,1141.4297128582841,11,810
258,2015,20151228,53,2015_53,114.14285714285714,228.28594257165685,2,808
259,2015,20151229,53,2015_53,114.14285714285714,785.286499572214,7,801
260,2015,20151230,53,2015_53,114.14285714285714,469.000469000469,5,796
261,2015,20151231,53,2015_53,114.14285714285714,182.57161114303972,2,794
262,2016,20160101,1,2016_01,114.14285714285714,1780.1446372874946,19,775
263,2016,20160102,1,2016_01,114.14285714285714,1300.8584437155866,14,761
264,2016,20160103,2,2016_02,114.14285714285714,389.1432462861035,4,746
265,2016,20160104,2,2016_02,114.14285714285714,214.57164314307173,2,744
266,2016,20160105,2,2016_02,114.14285714285714,279.57170814313673,3,741
267,2016,20160106,2,2016_02,114.14285714285714,456.5718851433137,4,737
269,2016,20160108,2,2016_02,114.14285714285714,534.1433912862484,5,732
270,2016,20160109,2,2016_02,114.14285714285714,683.2149689292546,7,725
271,2016,20160110,3,2016_03,114.14285714285714,1455.2871695728838,13,736
272,2016,20160111,3,2016_03,114.14285714285714,176.8573197144626,2,734
273,2016,20160112,3,2016_03,114.14285714285714,302.4288738574453,3,731
274,2016,20160114,3,2016_03,114.14285714285714,456.5718851433137,4,727
275,2016,20160115,3,2016_03,114.14285714285714,479.28619357190786,5,722
276,2016,20160116,3,2016_03,114.14285714285714,2181.573610145039,26,696
277,2016,20160117,4,2016_04,114.14285714285714,1793.2160789303648,17,829
278,2016,20160118,4,2016_04,114.14285714285714,913.1723417437704,8,821
279,2016,20160119,4,2016_04,114.14285714285714,547.8576907148337,5,816
280,2016,20160120,4,2016_04,114.14285714285714,1403.8585467156897,13,803
281,2016,20160121,4,2016_04,114.14285714285714,1991.7162774305632,18,785
282,2016,20160122,4,2016_04,114.14285714285714,1569.287283572998,15,770
283,2016,20160123,4,2016_04,114.14285714285714,2740.288454574169,31,739
284,2016,20160124,5,2016_05,114.14285714285714,2962.0029620029622,26,1229
285,2016,20160125,5,2016_05,114.14285714285714,1881.001881001881,17,1212
286,2016,20160126,5,2016_05,114.14285714285714,1426.8585697157127,12,1200
287,2016,20160127,5,2016_05,114.14285714285714,2337.445194588052,22,1178
288,2016,20160128,5,2016_05,114.14285714285714,1675.5731041445329,15,1163
289,2016,20160129,5,2016_05,114.14285714285714,2902.588616874331,39,1124
290,2016,20160130,5,2016_05,114.14285714285714,4434.633006061577,42,1082
291,2016,20160131,6,2016_06,114.14285714285714,4162.018447732733,41,1041
292,2016,20160201,6,2016_06,114.14285714285714,3376.3033763033764,30,1011
293,2016,20160202,6,2016_06,114.14285714285714,2321.5737501451786,21,990
294,2016,20160203,6,2016_06,114.14285714285714,4074.7183604326465,38,952
295,2016,20160204,6,2016_06,114.14285714285714,3497.289211574926,31,921
296,2016,20160205,6,2016_06,114.14285714285714,4516.447373590231,42,879
297,2016,20160206,6,2016_06,114.14285714285714,5153.86229671944,48,831
298,2016,20160207,7,2016_07,114.14285714285714,1752.001752001752,16,1507
299,2016,20160208,7,2016_07,114.14285714285714,1826.2875405732548,16,1491
300,2016,20160209,7,2016_07,114.14285714285714,2484.773913345342,23,1468
301,2016,20160210,7,2016_07,114.14285714285714,2054.5734831449117,18,1450
302,2016,20160211,7,2016_07,114.14285714285714,2434.573863145292,22,1428
303,2016,20160212,7,2016_07,114.14285714285714,2497.2882115739258,23,1405
304,2016,20160213,7,2016_07,114.14285714285714,2513.331084759656,23,1382
305,2016,20160214,8,2016_08,114.14285714285714,3665.0179507322364,34,1350
306,2016,20160215,8,2016_08,114.14285714285714,1812.4303838589553,17,1333
307,2016,20160216,8,2016_08,114.14285714285714,1680.287394573109,14,1319
308,2016,20160217,8,2016_08,114.14285714285714,1655.1445122873695,14,1305
309,2016,20160218,8,2016_08,114.14285714285714,1013.5724421438707,9,1296
310,2016,20160219,8,2016_08,114.14285714285714,1038.7153244296103,9,1287
311,2016,20160220,8,2016_08,114.14285714285714,1858.7014301300017,16,1271
312,2016,20160221,9,2016_09,114.14285714285714,1569.4301408587123,14,1303
313,2016,20160222,9,2016_09,114.14285714285714,954.4148115576687,10,1293
314,2016,20160223,9,2016_09,114.14285714285714,968.2676825533969,9,1284
315,2016,20160224,9,2016_09,114.14285714285714,1093.8435224149512,10,1274
316,2016,20160225,9,2016_09,114.14285714285714,637.2716372716372,6,1268
317,2016,20160226,9,2016_09,114.14285714285714,3797.846226417655,43,1225
318,2016,20160227,9,2016_09,114.14285714285714,4439.360153645868,47,1178
319,2016,20160228,10,2016_10,114.14285714285714,1753.816610959468,17,2116
320,2016,20160229,10,2016_10,114.14285714285714,1160.400303257446,11,2105
321,2016,20160301,10,2016_10,114.14285714285714,1575.1315751315751,14,2091
322,2016,20160302,10,2016_10,114.14285714285714,1438.1442952871525,13,2078
323,2016,20160303,10,2016_10,114.14285714285714,491.7147774290632,5,2073
324,2016,20160304,10,2016_10,114.14285714285714,1598.1673124530269,16,2057
325,2016,20160305,10,2016_10,114.14285714285714,1900.5019005019005,19,2038
